Year,Macro Stat,User-friendly Stat Name,Code-friendly Stat Name,Code-friendly Stat Name - Year,URL
2019,Around the Green,Sand Save Percentage,pct_sand_save,pct_sand_save_2019,https://www.pgatour.com/content/pgatour/stats/stat.111.y2019.html
2019,Around the Green,Scrambling,scrambling,scrambling_2019,https://www.pgatour.com/content/pgatour/stats/stat.130.y2019.html
2019,Putting,Strokes Gained - Putting,SG_putt,SG_putt_2019,https://www.pgatour.com/content/pgatour/stats/stat.02564.y2019.html
2019,Putting,Total Putting,total_put,total_put_2019,https://www.pgatour.com/content/pgatour/stats/stat.02428.y2019.html
2019,Putting,One-putt Percentage,pct_one_putt,pct_one_putt_2019,https://www.pgatour.com/content/pgatour/stats/stat.413.y2019.html
2019,Putting,Three-putt Avoidance,pct_three_putt_avoid,pct_three_putt_avoid_2019,https://www.pgatour.com/content/pgatour/stats/stat.426.y2019.html
2019,Putting,Putting Average,putt_avg,putt_avg_2019,https://www.pgatour.com/content/pgatour/stats/stat.104.y2019.html
2019,Putting,Putts per round,putts_per_rd,putts_per_rd_2019,https://www.pgatour.com/content/pgatour/stats/stat.119.y2019.html
2019,Scoring,Strokes Gained - Total,SG_total,SG_total_2019,https://www.pgatour.com/content/pgatour/stats/stat.02675.y2019.html
2019,Scoring,Scoring Average,scoring_avg,scoring_avg_2019,https://www.pgatour.com/content/pgatour/stats/stat.120.y2019.html
2019,Scoring,Bogey Avoidance,bogey_avoid,bogey_avoid_2019,https://www.pgatour.com/content/pgatour/stats/stat.02414.y2019.html
2019,Scoring,Birdie-to-Bogey Ratio,btb_ratio,btb_ratio_2019,https://www.pgatour.com/content/pgatour/stats/stat.02415.y2019.html
2019,Scoring,Par 3 Performance,p3_perf,p3_perf_2019,https://www.pgatour.com/content/pgatour/stats/stat.171.y2019.html
2019,Scoring,Par 4 Performance,p4_perf,p4_perf_2019,https://www.pgatour.com/content/pgatour/stats/stat.172.y2019.html
2019,Scoring,Par 5 Performance,p5_perf,p5_perf_2019,https://www.pgatour.com/content/pgatour/stats/stat.173.y2019.html
2019,MONEY (TARGET),OFFICIAL MONEY,money,money_2019,https://www.pgatour.com/content/pgatour/stats/stat.109.y2019.html
2018,Off the Tee,Strokes Gained - Off the Tee,SG_off_tee,SG_off_tee_2018,https://www.pgatour.com/content/pgatour/stats/stat.02567.y2018.html
2018,Off the Tee,Strokes Gained - Tee-to-green,SG_tee_green,SG_tee_green_2018,https://www.pgatour.com/content/pgatour/stats/stat.02674.y2018.html
2018,Off the Tee,Driving Distance,driving_dist,driving_dist_2018,https://www.pgatour.com/content/pgatour/stats/stat.101.y2018.html
2018,Off the Tee,% of Yardage Covered by Tee Shots,pct_ydg_tee,pct_ydg_tee_2018,https://www.pgatour.com/content/pgatour/stats/stat.02341.y2018.html
2018,Off the Tee,% of Yardage Covered by Tee Shots - Par 5,pct_ydg_tee_P5,pct_ydg_tee_P5_2018,https://www.pgatour.com/content/pgatour/stats/stat.02343.y2018.html
2018,Off the Tee,% of Yardage Covered by Tee Shots - Par 4,pct_ydg_tee_P4,pct_ydg_tee_P4_2018,https://www.pgatour.com/content/pgatour/stats/stat.02342.y2018.html
2018,Off the Tee,Driving Percentage 320+,driving_320+,driving_320+_2018,https://www.pgatour.com/content/pgatour/stats/stat.496.y2018.html
2018,Approach the Green,Strokes Gained - Approach the Green,SG_approach_green,SG_approach_green_2018,https://www.pgatour.com/content/pgatour/stats/stat.02568.y2018.html
